,phi,rho,gear
4200,0.021626043977211587,1387.324403302991,3
4201,0.021626043977211587,1387.324403302991,3
4202,0.022317722490499188,1344.3347797330841,3
4203,0.022317722490499188,1344.3347797330841,3
4204,0.03343235445239713,897.5015320321186,0
4205,0.03343235445239713,897.5015320321186,0
4206,0.03343235445239713,897.5015320321186,0
4207,0.016338415312823228,918.1225408408183,2
4208,0.016285205143345846,921.1221417379999,2
4209,0.008733402408426605,916.0349338316744,1
4210,0.003257317470005857,921.004885980525,0
4211,0.0021691939946463755,922.0021691948452,0
4302,0.013928717932023698,1364.132324959716,2
4303,0.014049167220723233,1637.1615680805605,2
4304,0.014109213890257053,2197.2186964433013,2
4305,0.014076496026475253,1989.197074198532,2
4306,0.01459355850012862,1850.197016536347,2
4307,0.013805828912993078,1521.1449635061085,2
4308,0.013805828912993078,1521.1449635061085,2
4309,0.01389464960079857,2087.2014756606513,2
4310,0.01389464960079857,2087.2014756606513,2
4311,0.014711184429485758,2311.2500946457526,2
4312,0.014711184429485758,2311.2500946457526,2
4313,0.01405059755555031,854.0843049722902,2
4314,0.01405059755555031,854.0843049722902,2
4315,0.007734652384676686,905.0270714183084,1
4316,0.007734652384676686,905.0270714183084,1
4317,0.007526739582738722,930.026343712908,1
4318,0.005643280950550224,886.014108239818,0
4319,0.0077743817524971144,1029.0310976836415,1
4320,0.008968369410818609,1784.0717474361843,1
4321,0.014865109144077503,1009.1114903716041,2
4322,0.014011821795788559,785.0770662807569,2
4323,0.0073143941122032945,957.0256004935292,1
4324,0.0073143941122032945,957.0256004935292,1
4325,0.008213367666771209,974.0328536553579,1
4326,0.008213367666771209,974.0328536553579,1
4327,0.014469667908092112,1313.1374642435574,2
4328,0.007936341307466063,882.0277773403737,1
4329,0.007936341307466063,882.0277773403737,1
4330,0.014349468204626818,1324.1363222870975,2
4331,0.0033222469132528527,903.0049833749534,0
4332,0.0033222469132528527,903.0049833749534,0
4333,0.0033482017740362746,896.0050223073529,0
4334,0.014073144922360928,1350.1336970833665,2
4335,0.0033482017740362746,896.0050223073529,0
4337,0.004449358847874995,899.0088987323763,0
4338,0.004449358847874995,899.0088987323763,0
4339,0.007526739582738722,930.026343712908,1
4340,0.013952582897227457,1290.1255752832744,2
4341,0.004301048746891559,930.0086021107546,0
4342,0.020405330686538086,833.1734513293136,3
4343,0.002227167809741579,898.0022271687303,0
4344,0.00789160618416117,887.0276207649906,1
4345,0.005555498400692622,900.0138887817232,0
4346,0.002232139149965149,896.0022321400768,0
4347,0.004985713674816173,1404.0174500340086,0
4348,0.006104252704045501,1802.0335734941234,1
4349,0.008868947055035204,902.0354760207605,1
4351,0.008790982324488225,910.0351641557594,1
4505,0.007623740478668122,1574.0457426644246,1
4506,0.007800153815272153,1923.058501450229,1
4507,0.013756655784621326,1163.1100549819007,2
4508,0.014093499509708002,1419.1409373279314,2
4509,0.014091844590896251,1703.169104933506,2
4510,0.023958548422656694,1085.3114760288863,3
